status.region;リージョン
status.chunk;チャンク
status.block;ブロック
status.selected;選択済み
status.queue;キュー
status.total;ロード済み
status.structures;構造物
status.overlay;オーバーレイ
menu.file;ファイル
menu.view;表示
menu.selection;選択
menu.tools;ツール
menu.about;詳細
menu.file.new;新規
menu.file.open;開く
menu.file.open_recent;最近開いたファイル
menu.file.open_recent.clear;クリア
menu.file.save;保存
menu.file.save_as;名前を付けて保存...
menu.file.open_world;ワールドを開く
menu.file.open_dimension;別の次元を開く
menu.file.open_recent_world;前の世界を開く
menu.file.open_recent_world.clear;クリア
menu.file.settings;設定
menu.file.render_settings;描画設定
menu.file.quit;終了
menu.view.reload;リロード
menu.view.chunk_grid;チャンクの境界
menu.view.region_grid;リージョンの境界
menu.view.coordinates;コーディネート
menu.view.structure_icons;構造物
menu.view.select_structures;構造物を選択
menu.view.goto;移動
menu.view.reset_zoom;拡大率をリセット
menu.view.save_screenshot;スクリーンショットを保存
menu.view.clear_cache;キャッシュをクリア
menu.view.clear_all_cache;すべてのキャッシュをクリア
menu.selection.clear;クリア
menu.selection.invert;反転
menu.selection.invert_regions;選択範囲を反転する
menu.selection.copy_chunks;チャンクをコピー
menu.selection.paste_chunks;チャンクをペースト
menu.selection.export_chunks;チャンクのエクスポート
menu.selection.delete_chunks;チャンクの削除
menu.selection.import_selection;.csvから選択をインポートします
menu.selection.export_selection;選択範囲を.csvとしてエクスポート
menu.selection.export_image;画像としてエクスポート
menu.selection.clear_cache;キャッシュをクリア
menu.tools.import_chunks;チャンクのインポート
menu.tools.filter_chunks;フィルター
menu.tools.change_fields;フィールドを変更
menu.tools.edit_nbt;NBTを編集
menu.tools.swap_chunks;チャンクを入れ替える
menu.tools.edit_overlays;オーバーレイ
menu.tools.next_overlay;次のオーバーレイ
menu.tools.next_overlay_type;次のオーバーレイのタイプ
menu.tools.sum_selection;選択の合計
dialog.select_world.title;ディメンションの選択
dialog.settings.title;設定
dialog.settings.global.language;言語
dialog.settings.global.language.language;言語
dialog.settings.processing.process.process_threads;プロセススレッド
dialog.settings.processing.process;プロセス
dialog.settings.processing.process.write_threads;書き込みスレッド
dialog.settings.processing.files.max_files;読み込めるファイル数
dialog.settings.global.selection.region_color;選択しているリージョンの色
dialog.settings.global.selection.chunk_color;選択しているチャンクの色
dialog.settings.global.selection.pasted_chunks_color;ペーストするチャンクの色
dialog.settings.rendering.shade.shade;影/透過
dialog.settings.rendering.shade;影/透過
dialog.settings.rendering.shade.shade_water;水の透過
dialog.settings.rendering.shade.shade_altitude;地形の高さ
dialog.settings.rendering.background.show_nonexistent_regions;存在しないリージョンを表示する
dialog.settings.rendering.smooth.smooth_rendering;滑らかなレンダリング
dialog.settings.rendering.smooth.smooth_overlays;滑らかなオーバーレイ
dialog.settings.rendering.background.background_pattern;背景パターン
dialog.settings.rendering.background;背景
dialog.settings.global.misc.mc_saves_dir;セーブフォルダ
dialog.settings.global.misc.print_debug;デバッグ情報を出力
dialog.settings.global.misc.show_log_file;ログを表示
dialog.settings.reset;リセット
dialog.settings.tab_global;一般
dialog.settings.tab_processing;処理
dialog.settings.tab_rendering;描画
dialog.settings.tab_world;ワールド
dialog.settings.global.misc;その他
dialog.settings.processing.files;ファイル
dialog.settings.rendering.smooth;滑らか
dialog.settings.global.selection;選択
dialog.settings.world.paths;パス
dialog.settings.world.paths.poi;POI
dialog.settings.world.paths.entities;エンティティ
dialog.settings.rendering.layers.render_height;描画する高さ
dialog.settings.rendering.layers.render_layer_only;この高さのみを描画する
dialog.settings.rendering.layers;レイヤー
dialog.settings.rendering.structure_icons;構造物アイコン
dialog.settings.rendering.structure_icon_size;アイコンサイズ
dialog.settings.rendering.structure_icon_border_size;枠線サイズ
dialog.settings.rendering.layers.render_caves;洞窟を描画する
dialog.goto.title;入力した座標に移動
dialog.confirmation.question;よろしいですか？
dialog.delete_chunks_confirmation.title;チャンクを削除
dialog.delete_chunks_confirmation.header_short;不明な数のチャンクを削除しようとしています
dialog.delete_chunks_confirmation.header_verbose;％d個のチャンクを削除しようとしています
dialog.image_export_confirmation.title;画像としてエクスポート
dialog.image_export_confirmation.header_short;比率が不明な画像を作成しようとしています
dialog.image_export_confirmation.header_verbose;サイズが%dx%dの画像を作成しようとしています
dialog.import_chunks_confirmation.title;チャンクをインポート
dialog.import_chunks_confirmation.header;不明な数のチャンクをインポートしようとしています
dialog.import_chunks_confirmation.options;オプション
dialog.import_chunks_confirmation.options.offset;オフセット
dialog.import_chunks_confirmation.options.overwrite;既存のチャンクを上書き
dialog.import_chunks_confirmation.options.selection_only;選択範囲のみに適用
dialog.import_chunks_confirmation.options.y_offset;Yオフセット
dialog.import_chunks_confirmation.options.sections;セクション
dialog.import_chunks_confirmation.warning;警告：オフセットを使用してチャンクをインポートしても、コマンドブロックの内容は更新されません
dialog.export_chunks_confirmation.title;チャンクをエクスポート
dialog.export_chunks_confirmation.header_short;不明な数のチャンクをエクスポートしようとしています
dialog.export_chunks_confirmation.header_verbose;%d個のチャンクをエクスポートしようとしています
dialog.import_selection.title;.csvから選択をインポートします
dialog.import_selection.header;この世界にはすでに選択範囲があります。\n新しい選択範囲をどのようにインポートする必要がありますか？
dialog.import_selection.overwrite;上書き
dialog.import_selection.merge;追加
dialog.import_selection.subtract;減算
dialog.filter_chunks.title;フィルター
dialog.filter_chunks.filter.add.tooltip;フィルターを追加します
dialog.filter_chunks.filter.delete.tooltip;フィルターを削除します
dialog.filter_chunks.filter.type.tooltip;フィルターのタイプ
dialog.filter_chunks.filter.operator.tooltip;フィルターをリンクする演算子
dialog.filter_chunks.filter.comparator.tooltip;比較演算子
dialog.filter_chunks.select;選択
dialog.filter_chunks.select.tooltip;当てはまるチャンクを選択します
dialog.filter_chunks.export;エクスポート
dialog.filter_chunks.export.tooltip;当てはまるチャンクを新しいディレクトリにエクスポートします
dialog.filter_chunks.delete;削除
dialog.filter_chunks.delete.tooltip;当てはまるチャンクをワールドから削除します
dialog.filter_chunks.selection_only;選択範囲のみに適用
dialog.filter_chunks.add_selection;選択範囲を追加
dialog.filter_chunks.subtract_selection;選択範囲を一部削除
dialog.filter_chunks.selection_radius;選択範囲の半径
dialog.filter_chunks.tab_query;クエリ
dialog.filter_chunks.tab_script;脚本
dialog.edit_overlays.title;オーバレイ
dialog.edit_overlays.overlay_active.tooltip;有効化
dialog.edit_overlays.delete.tooltip;削除
dialog.edit_overlays.tab_presets;オーバーレイ
dialog.edit_overlays.tab_script;スクリプト
dialog.edit_overlays.create_overlay;オーバーレイを作成
dialog.change_nbt.title;NBTを変更
dialog.change_nbt.change;変更
dialog.change_nbt.change.tooltip;キーが存在する場合にのみ値を変更します
dialog.change_nbt.force;強制
dialog.change_nbt.force.tooltip;タグが存在しない場合はタグを作成します
dialog.change_nbt.selection_only;選択範囲のみに適用
dialog.change_nbt.selection_only.tooltip;このフィルターを現在の選択範囲にのみ適用する必要がある場合
dialog.change_nbt_confirmation.title;NBTを変更
dialog.change_nbt_confirmation.header_short;不明な数のチャンクのデータを変更しようとしています
dialog.change_nbt.tab_query;クエリ
dialog.change_nbt.tab_script;脚本
dialog.edit_nbt.title;NBTを編集
dialog.edit_nbt.placeholder.loading;ロード中...
dialog.edit_nbt.placeholder.no_chunk_data;チャンクデータが存在しません
dialog.edit_nbt.placeholder.no_region_file;リージョンファイルが存在しません
dialog.edit_array.index;インデックス
dialog.edit_array.value;値
dialog.about.title;詳細
dialog.about.header;MCA Selectorについて
dialog.about.version;バージョン：
dialog.about.version.unknown;不明
dialog.about.version.check;更新
dialog.about.version.checking;確認中...
dialog.about.version.up_to_date;なし
dialog.about.version.error;エラー
dialog.about.license;ライセンス：
dialog.about.copyright;著作権：
dialog.about.source;ソース：
dialog.progress.no_files;ファイルがありません
dialog.progress.running;実行中...
dialog.progress.cancelling;キャンセルしています...
dialog.progress.collecting_data;データを読み込んでいます...
dialog.progress.done;完了
dialog.progress.scanning_files;ファイルをスキャンしています...
dialog.progress.title.loading_world;世界を読み込んでいます...
dialog.progress.title.deleting_selection;選択範囲を削除しています...
dialog.progress.title.creating_image;画像を作成中...
dialog.progress.title.saving_image;画像を保存中...
dialog.progress.title.exporting_selection;選択範囲をエクスポートしています...
dialog.progress.title.importing_chunks;選択範囲をインポートしています...
dialog.progress.title.deleting_filtered_chunks;フィルターされたチャンクを削除しています...
dialog.progress.title.exporting_filtered_chunks;フィルターされたチャンクをエクスポートしています...
dialog.progress.title.selecting_filtered_chunks;フィルターされたチャンクを選択しています...
dialog.progress.title.changing_nbt_data;NBTを変更中...
dialog.progress.title.saving_chunk;チャンクを保存しています...
dialog.progress.title.running_before;「before()」を実行します...
dialog.progress.title.running_after;「after()」を実行します...
dialog.progress.title.summing;金額を数えて…
dialog.error.button.copy_to_clipboard;クリップボードにコピー
dialog.error.title;エラー
dialog.error.header;エラーが発生しました
dialog.error.copied_to_clipboard;コピーしました
dialog.unsaved_selection.title;保存されていない選択
dialog.unsaved_selection.header;保存されていない選択があります。
dialog.unsaved_script.title;保存されていないスクリプト
dialog.unsaved_script.header;保存されていないスクリプトがあります。
dialog.request_number.title.array_length;配列の長さ
dialog.request_number.title.enter_number;価値
button.cancel;キャンセル
button.ok;OK
dialog.replace_blocks.builder.button;Builder
dialog.replace_blocks.builder.title;ReplaceBlocks Builder
dialog.replace_blocks.builder.from;From block
dialog.replace_blocks.builder.to;To block
dialog.replace_blocks.builder.add_rule;Add rule
dialog.replace_blocks.builder.delete_rule;Delete rule
dialog.replace_blocks.builder.rules;Rules
dialog.replace_blocks.builder.result;Generated ReplaceBlocks
dialog.replace_blocks.builder.invalid;Invalid block id or generated rule.
dialog.replace_blocks.builder.duplicate;This rule already exists.
dialog.replace_blocks.builder.empty;Add at least one rule.
dialog.replace_blocks.builder.advanced;Advanced text input remains available; from/to also accept block state SNBT with Name.
dialog.replace_blocks.builder.tile_source.any;Extra NBT: any
dialog.replace_blocks.builder.tile_source.require;Extra NBT: present
dialog.replace_blocks.builder.tile_source.exclude;Extra NBT: absent
dialog.replace_blocks.builder.property.all;all
dialog.replace_blocks.builder.help.button;Help
dialog.replace_blocks.builder.help.title;ReplaceBlocks Builder Help
dialog.replace_blocks.builder.help.nbt.title;Extra NBT source condition
dialog.replace_blocks.builder.help.nbt.intro;Extra NBT is block entity data stored at a block position, such as sign text, container items, furnace progress, or command block commands. This option only checks whether the source position has that data; it does not inspect the contents.
dialog.replace_blocks.builder.help.nbt.any;Extra NBT: any - match by block name and properties regardless of block entity data. Use this for normal blocks, or when replacing and discarding existing extra data is acceptable.
dialog.replace_blocks.builder.help.nbt.present;Extra NBT: present - match only positions that already have block entity data. Use this when deliberately targeting chests, barrels, signs, furnaces, spawners, or similar data blocks; generates tile(...).
dialog.replace_blocks.builder.help.nbt.absent;Extra NBT: absent - match only positions without block entity data. Use this to avoid container contents, sign text, and similar data, or to clean up unusual same-name blocks without entities; generates no_tile(...).
dialog.replace_blocks.builder.help.nbt.note;This setting filters only the source side. If the target needs block entity SNBT, continue using advanced text input.
dialog.replace_blocks.validation.source_empty;Enter a source block id.
dialog.replace_blocks.validation.target_empty;Enter a target block id.
dialog.replace_blocks.validation.source_unknown;Unknown source block "%s".
dialog.replace_blocks.validation.target_unknown;Unknown target block "%s".
dialog.replace_blocks.validation.source_format;Source block id must look like minecraft:stone or modid:block_name.
dialog.replace_blocks.validation.target_format;Target block id must look like minecraft:dirt or modid:block_name.
dialog.replace_blocks.validation.missing_equals;Each ReplaceBlocks rule needs from=to.
dialog.replace_blocks.validation.state_snbt;Block state SNBT must be a valid compound, for example {Name:"minecraft:stone"}.
dialog.replace_blocks.validation.tile_empty;Tile entity SNBT is missing after ;.
dialog.replace_blocks.validation.tile_snbt;Tile entity SNBT must be a valid compound.
dialog.replace_blocks.validation.trailing;Unexpected text after this rule. Separate rules with commas.
dialog.replace_blocks.validation.target_quote;Quoted target block is missing a closing quote.
dialog.replace_blocks.validation.quoted_target_ambiguous;Quoted target blocks are fragile before another rule or tile SNBT. Use {Name:"modid:block"} instead.
dialog.replace_blocks.validation.source_regex;Source "%s" is treated as a Java regex when matching blocks.
dialog.replace_blocks.validation.source_mode_wrapper;Source mode wrappers must be literal(...), regex(...), props(...), tile(...), or no_tile(...).
dialog.replace_blocks.validation.source_literal;literal(...) source must contain a valid block id. Invalid source: "%s".
dialog.replace_blocks.validation.source_regex_syntax;regex(...) source must contain a valid Java regex.
dialog.replace_blocks.validation.source_props;props(...) source must contain block-state SNBT with Name and at least one selected property.
dialog.change_nbt.query_invalid;Invalid change query: %s
dialog.change_nbt.replace_blocks_query_quote;In the advanced query field, wrap ReplaceBlocks values in double quotes, for example ReplaceBlocks = "minecraft:stone=minecraft:dirt".
dialog.replace_blocks.preview.button;Preview
dialog.replace_blocks.preview.title;ReplaceBlocks Preview
dialog.replace_blocks.preview.no_field;Enter a valid ReplaceBlocks value before running preview.
dialog.replace_blocks.preview.result;Dry-run completed.\nScanned regions: %d\nScanned chunks: %d\nAffected chunks: %d\nAffected sections: %d\nMatched blocks: %d\nTile entities to add: %d\nTile entities to remove: %d\nTile entities to update: %d
dialog.replace_blocks.preview.rules;Rule matches:
dialog.replace_blocks.preview.rule;#%d [%s] %s -> %s: %d
dialog.replace_blocks.preview.warning_air;Air replacement may complete missing sections before replacement. Preview counted %d missing or incomplete air sections.
dialog.replace_blocks.preview.warning_overlap;%d block positions matched more than one rule. Per-rule counts include each rule match, so their sum may be higher than matched blocks.
dialog.replace_blocks.preview.warning_tile;Tile entity replacement can add, remove, or update block entities. Test on copied worlds before applying.
dialog.replace_blocks.preview.warning_light;The current ReplaceBlocks implementation may remove light arrays from %d processed sections.
dialog.replace_blocks.preview.warning_heightmaps;Heightmaps are recomputed for processed chunks during the real change. Preview scanned %d chunks.
dialog.replace_blocks.preview.warning_unsupported;Preview is not implemented for %d scanned chunks in older or unsupported versions.
dialog.replace_blocks.preview.warning_errors;Preview skipped %d chunks and %d regions because of errors:
dialog.progress.title.preview_replace_blocks;Preview ReplaceBlocks
dialog.replace_blocks.validation.source_state_snbt;Source block state SNBT must be a valid compound with a Name value.
